Crop,State,Season,Area,Cost_of_Cultivation,Cost_of_Production,Annual_Rainfall,Temperature,Yield,Production
Jowar,Gujarat,Rabi,705.73,52862.28,37657.28,583.66,25.76,1158.16,817.35
Sugarcane,Karnataka,Kharif,346.2,23495.29,14276.54,1397.9,30.92,61997.87,21463.66
Rice,Punjab,Rabi,847.22,44209.69,37689.51,1286.38,28.99,2708.74,2294.9
Sugarcane,Punjab,Kharif,972.04,27566.77,24623.62,1204.25,18.39,64804.12,62992.2
Jowar,Uttar Pradesh,Rabi,313.55,23088.4,17232.15,521.08,35.89,1149.42,360.4
Cotton,Rajasthan,Kharif,474.27,39427.02,35423.5,1227.15,17.21,936.33,444.07
Rice,Tamil Nadu,Kharif,154.57,45454.13,34659.29,1595.23,35.84,2979.27,460.51
Maize,Uttar Pradesh,Rabi,826.9,53995.75,35267.39,1162.66,31.93,2600.32,2150.2
Sugarcane,Uttar Pradesh,Kharif,580.68,22655.82,16611.54,1364.6,27.22,62330.33,36193.98
Maize,Punjab,Zaid,880.37,49287.33,37991.32,1355.12,20.03,2485.92,2188.53
Rice,Karnataka,Rabi,228.14,68021.59,59371.72,1527.64,28.33,2804.47,639.81
Groundnut,Karnataka,Rabi,790.61,21865.14,18328.74,768.8,36.93,1585.92,1253.84
Sugarcane,Tamil Nadu,Zaid,302.8,42028.0,31803.98,1256.61,26.03,65354.04,19789.2
Barley,Uttar Pradesh,Rabi,725.85,64194.89,47298.4,1053.87,30.05,3105.92,2254.43
Maize,Gujarat,Kharif,439.43,61583.29,53449.8,406.18,37.09,2156.29,947.54
Cotton,Andhra Pradesh,Rabi,477.11,52824.71,43147.86,1477.31,18.36,1039.28,495.85
Wheat,Gujarat,Zaid,211.1,67659.64,40775.69,1996.3,31.92,3535.15,746.27
Rice,Madhya Pradesh,Zaid,2.82,17428.91,12244.41,1375.94,16.73,2955.79,8.34
Rice,Maharashtra,Zaid,613.8,19873.26,14831.18,432.0,25.19,2483.17,1524.17
Groundnut,Uttar Pradesh,Zaid,632.27,46737.24,37825.7,310.35,17.52,1308.57,827.37
Rice,Andhra Pradesh,Rabi,794.62,53889.76,33145.86,423.93,25.07,2478.63,1969.57
Wheat,Andhra Pradesh,Zaid,803.58,66107.54,47698.63,1840.39,23.04,3410.33,2740.47
Barley,Karnataka,Kharif,603.69,34679.77,27547.71,508.97,37.22,2553.32,1541.41
Soybean,Rajasthan,Rabi,821.52,45506.15,36001.16,1194.67,26.58,1521.95,1250.31
Groundnut,Maharashtra,Kharif,916.83,54636.03,39361.64,569.66,37.05,1251.47,1147.39
Sunflower,Haryana,Zaid,54.8,56175.49,39057.47,300.23,27.78,908.25,49.77
Wheat,Madhya Pradesh,Kharif,340.7,66724.67,41690.55,1882.51,35.67,3955.91,1347.78
Maize,Gujarat,Zaid,866.61,46449.5,40511.39,1903.07,25.56,2979.29,2581.88
Maize,Karnataka,Kharif,687.18,42159.77,30198.82,1375.61,32.6,2569.56,1765.75
Jowar,Andhra Pradesh,Kharif,713.19,51651.2,45959.97,1593.76,38.77,1543.32,1100.68
Cotton,Maharashtra,Zaid,634.52,69970.64,44182.43,1147.57,24.63,931.48,591.04
Barley,Uttar Pradesh,Zaid,111.42,49893.33,41473.04,304.9,36.47,2505.44,279.16
Sugarcane,Haryana,Kharif,657.52,40975.5,35404.76,666.76,31.95,56631.81,37236.55
Wheat,Gujarat,Zaid,126.16,55540.31,49562.93,388.74,32.05,3948.12,498.09
Cotton,Uttar Pradesh,Kharif,58.56,21133.17,15950.44,754.91,35.89,740.53,43.37
Cotton,Tamil Nadu,Rabi,19.82,21840.26,15814.38,1137.87,25.11,1083.82,21.48
Sunflower,Gujarat,Rabi,519.27,52264.82,36248.74,1615.79,34.32,1673.98,869.25
Sunflower,Rajasthan,Zaid,575.57,19201.17,13724.5,925.15,19.54,1154.27,664.36
Barley,Punjab,Zaid,518.2,34145.26,24295.1,302.3,22.5,2308.83,1196.44
Sugarcane,Andhra Pradesh,Zaid,675.74,45082.98,38272.25,1330.45,22.28,62507.97,42239.14
Sunflower,Uttar Pradesh,Kharif,228.62,28563.2,21285.96,1570.66,26.85,1592.43,364.06
Jowar,Maharashtra,Rabi,990.21,28153.73,21374.91,1406.63,31.11,1736.69,1719.69
Rice,Rajasthan,Zaid,141.23,49232.75,41079.64,1283.11,18.67,2814.68,397.52
Cotton,Madhya Pradesh,Zaid,164.3,50355.04,42447.19,1910.57,23.43,1318.12,216.57
Barley,Haryana,Rabi,147.73,15431.29,12179.56,1061.04,18.36,3318.46,490.24
Wheat,Tamil Nadu,Zaid,761.21,34484.73,30509.38,1935.93,30.52,3593.65,2735.52
Maize,Tamil Nadu,Kharif,481.59,64372.11,51646.05,532.9,39.87,2176.04,1047.96
Wheat,Tamil Nadu,Kharif,197.33,67328.64,60491.13,1509.93,39.53,3224.89,636.37
Barley,Haryana,Zaid,176.51,26767.64,16165.22,324.12,35.73,2619.45,462.36
Wheat,Punjab,Zaid,395.51,67409.32,60002.1,967.75,36.36,3223.04,1274.74
Rice,Andhra Pradesh,Kharif,163.12,46079.69,38314.71,1148.12,15.3,2912.44,475.08
Jowar,Maharashtra,Kharif,377.3,45359.47,38166.63,378.3,35.2,1054.16,397.73
Groundnut,Karnataka,Zaid,29.66,41448.96,33106.54,501.45,22.22,1209.03,35.86
Sunflower,Andhra Pradesh,Zaid,954.87,42207.14,31816.42,1118.63,30.89,1367.29,1305.58
Jowar,Punjab,Rabi,992.45,36247.77,27988.8,1006.53,36.18,1316.9,1306.96
Rice,Rajasthan,Rabi,918.28,20599.2,15486.22,675.45,15.97,2406.98,2210.28
Sugarcane,Karnataka,Zaid,563.54,38512.6,26878.0,1727.42,18.6,70247.75,39587.42
Soybean,Andhra Pradesh,Zaid,845.93,37051.8,30713.44,1699.37,37.22,1719.52,1454.59
Sunflower,Gujarat,Zaid,594.01,16804.53,13289.24,919.4,22.38,1345.32,799.13
Maize,Karnataka,Kharif,409.71,59598.32,50703.14,864.72,32.34,2449.21,1003.47
Maize,Haryana,Kharif,463.56,17497.18,12020.72,1882.72,24.8,3144.87,1457.84
Cotton,Gujarat,Kharif,590.64,18373.2,13020.22,1529.32,20.01,1222.69,722.17
Groundnut,Maharashtra,Rabi,731.86,50234.96,36409.45,1590.42,30.24,1875.24,1372.41
Cotton,Gujarat,Zaid,271.8,21894.61,15350.08,1999.22,25.14,1437.56,390.73
Groundnut,Karnataka,Kharif,381.0,37795.83,31224.98,335.14,21.73,1201.84,457.9
Barley,Punjab,Zaid,628.62,41502.71,29405.21,1913.65,30.8,3315.1,2083.94
Rice,Punjab,Zaid,509.14,35310.44,31068.86,1706.76,32.43,2749.71,1399.99
Soybean,Tamil Nadu,Kharif,122.47,21881.89,18712.11,885.83,15.77,1569.75,192.25
Cotton,Uttar Pradesh,Kharif,701.32,54988.12,42265.07,1910.05,27.41,1244.93,873.09
Maize,Rajasthan,Zaid,506.92,36298.05,31650.87,327.31,34.55,2142.27,1085.96
Rice,Haryana,Kharif,97.97,45743.93,34322.88,1500.53,28.36,2787.66,273.11
Sunflower,Uttar Pradesh,Kharif,505.04,54514.97,46817.03,604.73,35.0,899.53,454.3
Jowar,Gujarat,Zaid,310.13,30952.5,26663.23,1443.6,34.92,1714.12,531.6
Soybean,Madhya Pradesh,Zaid,571.96,60805.67,53011.97,320.67,31.85,1146.4,655.69
Cotton,Karnataka,Zaid,411.95,66424.69,48434.36,1792.57,30.14,1184.65,488.02
Sunflower,Punjab,Rabi,84.38,33340.44,26781.12,422.59,20.14,1059.44,89.4
Sugarcane,Tamil Nadu,Zaid,632.47,25944.57,18822.79,1576.6,17.53,65473.04,41409.73
Sunflower,Haryana,Zaid,432.3,68920.28,42747.86,1181.79,19.48,1489.28,643.82
Jowar,Maharashtra,Kharif,204.84,43583.73,27118.35,1329.32,27.92,1469.22,300.96
Maize,Haryana,Rabi,689.93,22916.81,17843.21,592.59,38.14,2227.14,1536.57
Sugarcane,Uttar Pradesh,Zaid,648.68,29707.11,17958.93,1940.53,21.27,61210.78,39706.21
Jowar,Gujarat,Kharif,672.22,47095.63,35685.62,724.19,15.05,1422.66,956.34
Groundnut,Uttar Pradesh,Kharif,203.03,47317.22,38343.12,1456.19,25.2,1716.15,348.43
Rice,Maharashtra,Zaid,253.47,39763.98,35281.56,978.36,36.0,2733.87,692.95
Groundnut,Punjab,Rabi,8.82,38847.05,24387.7,1572.25,37.86,1786.07,15.75
Sugarcane,Gujarat,Zaid,9.55,47419.97,37176.66,1384.07,21.05,62327.86,595.23
Rice,Karnataka,Zaid,50.49,65133.67,39656.71,905.15,15.4,2580.27,130.28
Wheat,Madhya Pradesh,Zaid,459.21,55300.34,43245.95,1443.88,17.03,3866.24,1775.42
Sunflower,Uttar Pradesh,Rabi,513.85,28934.64,25934.06,795.54,34.27,1282.38,658.95
Rice,Gujarat,Kharif,584.66,44608.26,30362.88,926.36,37.38,2817.5,1647.28
Cotton,Haryana,Kharif,873.79,50087.48,42579.01,1149.03,28.38,953.19,832.89
Cotton,Haryana,Rabi,500.33,58180.37,45360.54,641.87,29.76,618.49,309.45
Sunflower,Maharashtra,Zaid,281.4,54212.8,32714.59,994.92,38.1,1070.32,301.19
Cotton,Karnataka,Kharif,186.05,51532.07,44549.84,1684.01,32.13,1174.03,218.43
Sugarcane,Madhya Pradesh,Rabi,535.79,34628.73,24452.62,1708.54,34.73,61805.47,33114.75
Soybean,Andhra Pradesh,Kharif,327.08,34493.37,25928.33,1899.91,36.91,1955.69,639.67
Maize,Uttar Pradesh,Zaid,194.27,62234.92,49979.76,1724.44,36.47,2567.47,498.78
Maize,Gujarat,Zaid,610.74,23820.1,19105.95,604.73,32.35,2171.25,1326.07
Rice,Andhra Pradesh,Kharif,718.88,55282.06,41709.21,574.32,17.09,2311.68,1661.82
Rice,Rajasthan,Zaid,241.92,34484.92,21780.8,678.01,27.98,2158.16,522.1
Soybean,Tamil Nadu,Zaid,234.59,27075.47,24041.9,1347.71,28.92,1785.69,418.91
Rice,Punjab,Zaid,679.14,37652.56,31103.97,646.23,23.19,2939.8,1996.54
Rice,Karnataka,Kharif,337.54,22856.31,18459.26,650.63,24.8,2784.19,939.78
Rice,Uttar Pradesh,Zaid,773.1,67329.31,56081.73,1339.27,36.43,2535.53,1960.22
Cotton,Rajasthan,Kharif,731.45,53350.15,44056.1,1090.59,36.85,965.52,706.23
Barley,Uttar Pradesh,Zaid,285.87,44236.76,33317.74,1695.02,25.11,3080.82,880.71
Barley,Madhya Pradesh,Rabi,901.82,26191.0,16240.83,1791.5,24.74,3240.85,2922.66
Barley,Madhya Pradesh,Zaid,67.03,50657.49,31520.69,938.3,35.1,2317.46,155.34
Maize,Uttar Pradesh,Rabi,729.37,48462.49,39351.07,936.62,24.24,2495.33,1820.02
Jowar,Haryana,Rabi,842.4,35528.26,28052.99,462.13,17.59,1119.88,943.39
Barley,Rajasthan,Rabi,782.07,56346.08,47381.45,1180.61,18.51,2738.64,2141.81
Cotton,Uttar Pradesh,Kharif,386.93,51436.62,36215.95,964.28,18.97,858.03,332.0
Cotton,Rajasthan,Rabi,579.02,49781.52,32205.81,1105.67,32.91,837.29,484.81
Groundnut,Madhya Pradesh,Zaid,185.78,47987.42,41195.0,1776.69,33.11,2037.88,378.6
Jowar,Haryana,Rabi,383.11,60200.7,48031.32,1653.61,21.8,1809.27,693.15
Groundnut,Gujarat,Zaid,636.94,56152.81,37482.71,1198.83,35.65,1475.32,939.69
Sugarcane,Andhra Pradesh,Rabi,63.61,57723.48,48862.6,1084.59,39.58,63516.84,4040.31
Sunflower,Maharashtra,Rabi,699.1,35259.1,25728.7,352.95,21.49,1037.43,725.27
Sunflower,Haryana,Rabi,429.27,26058.58,19654.95,1551.59,25.91,1482.85,636.54
Groundnut,Haryana,Rabi,748.13,59699.25,48478.86,1944.35,35.67,2125.07,1589.83
Maize,Uttar Pradesh,Zaid,40.83,37615.53,24037.23,338.12,24.01,2302.2,94.0
Maize,Tamil Nadu,Zaid,14.19,19412.22,13465.46,326.76,15.43,2172.47,30.83
Sugarcane,Andhra Pradesh,Zaid,511.88,15294.04,13482.07,1005.19,25.06,68619.04,35124.71
Maize,Gujarat,Kharif,638.5,55315.2,44409.12,535.34,29.47,2367.96,1511.94
Wheat,Andhra Pradesh,Kharif,633.26,40810.69,29910.88,1140.05,36.53,3650.06,2311.44
Jowar,Maharashtra,Rabi,593.36,17934.14,13207.23,1447.14,31.94,1690.74,1003.22
Cotton,Karnataka,Zaid,691.04,53342.47,42385.48,767.99,18.91,720.09,497.61
Soybean,Maharashtra,Kharif,179.77,53782.65,39613.7,1435.19,35.93,1767.57,317.76
Sunflower,Tamil Nadu,Rabi,910.26,50146.77,44433.07,1798.75,29.61,1818.86,1655.64
Rice,Tamil Nadu,Rabi,921.35,47075.49,36617.77,903.37,16.3,2541.27,2341.4
Rice,Maharashtra,Zaid,882.97,51247.5,33996.03,1767.09,37.15,2881.68,2544.44
Cotton,Andhra Pradesh,Zaid,125.66,26030.41,17306.79,1475.06,30.08,1161.67,145.98
Cotton,Maharashtra,Zaid,435.68,36777.89,29451.46,1816.22,22.65,1291.63,562.74
Wheat,Haryana,Zaid,211.19,27615.12,20455.41,756.56,17.52,3343.63,706.14
Maize,Karnataka,Rabi,166.44,21293.73,12831.85,564.47,20.18,2191.35,364.73
Sunflower,Madhya Pradesh,Rabi,256.83,34542.59,27710.01,406.36,20.26,999.95,256.82
Groundnut,Madhya Pradesh,Zaid,271.73,20422.06,17334.13,1501.35,30.43,1949.68,529.79
Cotton,Tamil Nadu,Rabi,505.76,22924.33,18046.02,765.19,27.2,783.12,396.07
Jowar,Gujarat,Zaid,57.45,38023.4,28043.38,1532.51,29.36,1561.07,89.68
Maize,Madhya Pradesh,Kharif,862.27,32263.15,24565.38,1728.18,39.74,2743.79,2365.89
Cotton,Haryana,Kharif,741.77,42091.3,31356.09,1724.99,24.04,1266.34,939.33
Maize,Haryana,Zaid,698.68,37888.0,28573.43,1835.61,37.25,2850.62,1991.67
Barley,Rajasthan,Rabi,644.92,27640.47,21167.04,932.69,31.54,3133.79,2021.04
Groundnut,Tamil Nadu,Kharif,279.0,27029.04,17700.0,1703.71,22.14,1865.21,520.39
Maize,Rajasthan,Zaid,894.04,33561.42,27481.4,1274.48,23.44,2614.23,2337.23
Sugarcane,Gujarat,Zaid,220.89,27001.41,23281.2,724.44,21.58,68784.53,15193.81
Rice,Tamil Nadu,Kharif,554.56,25972.79,17874.08,703.04,38.71,2769.95,1536.1
Soybean,Madhya Pradesh,Zaid,238.53,64963.9,48100.62,1092.71,34.01,1511.51,360.54
Wheat,Punjab,Rabi,999.56,57319.69,41233.48,1706.84,19.27,3462.46,3460.94
Cotton,Karnataka,Zaid,646.78,27470.77,22004.35,1096.16,34.34,956.87,618.88
Rice,Gujarat,Kharif,839.26,23837.38,14481.01,1063.37,20.94,2483.9,2084.64
Rice,Gujarat,Kharif,189.54,65730.21,53155.19,1338.31,20.0,2759.5,523.04
Rice,Punjab,Rabi,677.55,46117.99,40525.88,958.45,16.65,2445.41,1656.89
Cotton,Uttar Pradesh,Rabi,88.0,30554.06,22169.25,797.28,23.31,841.91,74.09
Groundnut,Uttar Pradesh,Rabi,296.01,49078.88,38276.04,1160.76,23.76,1886.56,558.44
Rice,Maharashtra,Rabi,455.89,52296.26,39897.15,889.71,25.89,2394.13,1091.46
Sunflower,Madhya Pradesh,Zaid,849.61,19894.43,17855.43,1219.7,39.62,1549.41,1316.39
Sunflower,Haryana,Rabi,62.28,20079.83,13028.54,1311.86,18.76,1510.8,94.09
Wheat,Uttar Pradesh,Rabi,5.52,18305.3,15951.79,1400.78,21.83,3914.09,21.61
Maize,Uttar Pradesh,Kharif,115.24,66784.31,55782.39,1086.07,36.62,2577.39,297.02
Soybean,Haryana,Zaid,295.42,31437.14,19871.96,1048.1,33.24,1454.6,429.72
Maize,Rajasthan,Kharif,430.24,60702.2,38604.62,1549.37,28.29,2640.75,1136.16
Jowar,Maharashtra,Zaid,434.13,24042.3,15266.26,1229.38,37.56,1340.8,582.08
Soybean,Maharashtra,Zaid,931.59,60153.96,46317.44,1416.95,37.46,1506.13,1403.1
Rice,Madhya Pradesh,Zaid,254.31,57899.36,36454.66,428.62,24.04,2087.3,530.82
Groundnut,Karnataka,Kharif,895.75,58092.5,47049.79,1348.8,36.59,1810.39,1621.66
Sunflower,Tamil Nadu,Rabi,793.67,16747.82,13977.99,708.12,18.61,1191.52,945.67
Sugarcane,Gujarat,Kharif,458.2,27458.69,21532.86,729.86,29.44,72347.5,33149.62
Rice,Tamil Nadu,Rabi,895.94,58666.12,37985.79,388.04,28.93,2173.04,1946.91
Rice,Tamil Nadu,Kharif,358.66,65209.08,50191.85,610.54,18.49,2703.59,969.67
Rice,Karnataka,Zaid,17.25,52355.95,32616.21,1015.29,30.04,2698.93,46.56
Cotton,Rajasthan,Rabi,161.64,51102.53,45550.0,1255.72,32.87,969.59,156.72
Soybean,Uttar Pradesh,Zaid,938.51,51397.78,32022.92,902.93,28.77,1370.95,1286.65
Jowar,Madhya Pradesh,Kharif,438.46,64459.32,57283.61,1055.0,33.75,1570.24,688.49
Cotton,Maharashtra,Zaid,29.64,64898.69,41982.0,674.15,27.96,745.26,22.09
Wheat,Uttar Pradesh,Rabi,318.04,68277.1,46339.87,832.19,35.91,3363.95,1069.87
Soybean,Rajasthan,Kharif,630.01,37176.58,30697.42,1203.2,31.94,1556.94,980.89
Soybean,Haryana,Zaid,893.65,51193.02,30839.58,1903.4,20.93,1977.28,1767.0
Groundnut,Rajasthan,Rabi,249.88,45110.93,30779.88,1832.69,20.38,1981.47,495.13
Sunflower,Uttar Pradesh,Rabi,6.88,68809.51,61221.48,971.76,33.21,1365.98,9.4
Groundnut,Uttar Pradesh,Rabi,132.84,36023.87,28307.67,1072.49,34.5,1522.74,202.28
Barley,Andhra Pradesh,Rabi,688.2,21621.32,19060.47,608.01,30.57,2489.16,1713.04
Soybean,Gujarat,Rabi,171.35,37997.96,31431.34,1826.54,17.1,1824.13,312.56
Jowar,Andhra Pradesh,Zaid,17.08,51394.53,40125.5,577.13,20.85,1182.44,20.2
Barley,Rajasthan,Rabi,51.1,17166.55,13255.75,967.92,15.72,2763.7,141.23
Jowar,Tamil Nadu,Kharif,787.48,31853.81,19497.0,1300.2,24.94,1540.32,1212.97
Sunflower,Andhra Pradesh,Zaid,375.03,45242.77,27832.08,1024.41,35.81,1361.59,510.64
Rice,Punjab,Kharif,88.05,19945.39,13123.56,385.95,30.66,2131.41,187.67
Jowar,Andhra Pradesh,Kharif,870.7,56749.78,46436.01,1123.47,32.35,1305.81,1136.97
Sugarcane,Uttar Pradesh,Kharif,572.21,59298.78,49102.25,561.63,18.73,59920.86,34287.32
Groundnut,Haryana,Kharif,827.44,47166.12,33075.7,1664.85,21.16,1776.62,1470.05
Groundnut,Maharashtra,Rabi,337.64,32155.15,20471.04,488.93,31.2,1413.8,477.36
Sugarcane,Gujarat,Rabi,397.29,23597.43,19382.58,912.81,31.78,67762.47,26921.35
Wheat,Rajasthan,Kharif,156.62,69363.15,61954.05,1649.49,31.49,4112.38,644.08
Maize,Karnataka,Rabi,434.64,39554.31,31075.12,1431.12,27.52,2681.2,1165.36
Soybean,Karnataka,Zaid,689.24,60280.03,46226.18,1625.18,15.41,1687.28,1162.94
Jowar,Andhra Pradesh,Rabi,602.67,43140.12,26673.63,789.31,17.33,1194.06,719.62
Maize,Uttar Pradesh,Rabi,889.63,66916.06,55523.51,309.19,15.03,1819.51,1618.69
Jowar,Rajasthan,Kharif,625.52,56089.3,37333.83,401.9,18.27,1006.09,629.33
Groundnut,Gujarat,Rabi,45.47,55378.32,38897.49,1113.5,38.22,1595.84,72.56
Barley,Rajasthan,Kharif,258.96,16531.87,13050.47,1024.88,28.7,2393.18,619.74
Sunflower,Tamil Nadu,Zaid,633.6,59303.93,42661.19,1670.16,29.8,1680.98,1065.07
Cotton,Haryana,Rabi,800.31,62465.5,40303.13,1747.71,39.79,1104.12,883.64
Groundnut,Maharashtra,Kharif,308.23,61064.2,47895.44,1288.03,21.34,1693.73,522.06
Cotton,Maharashtra,Kharif,633.89,47640.38,28816.38,1538.92,23.09,1130.65,716.71
Soybean,Andhra Pradesh,Rabi,135.01,20193.04,17153.09,1861.28,31.24,1966.53,265.5
Sunflower,Punjab,Kharif,712.28,34612.79,23410.17,321.93,28.51,913.17,650.43
Sunflower,Maharashtra,Zaid,898.84,45421.16,38320.81,952.87,31.66,1246.32,1120.24
Soybean,Andhra Pradesh,Zaid,976.81,37259.88,23335.67,411.88,37.28,966.55,944.14
Maize,Punjab,Zaid,327.28,31815.92,22933.27,1443.26,32.05,2499.54,818.05
Maize,Uttar Pradesh,Kharif,578.7,53138.22,43051.71,1580.9,36.82,2604.35,1507.14
Groundnut,Uttar Pradesh,Rabi,92.95,57919.13,46457.54,1604.75,22.69,2059.9,191.47
Maize,Madhya Pradesh,Rabi,523.8,30524.44,21044.24,772.34,34.29,2317.38,1213.84
Sunflower,Uttar Pradesh,Zaid,975.49,41079.04,25469.34,381.76,22.39,1012.38,987.57
Maize,Tamil Nadu,Rabi,598.8,50912.23,32898.25,1960.95,28.62,3029.95,1814.33
Sugarcane,Tamil Nadu,Zaid,365.14,50253.1,37179.98,622.89,32.54,52045.72,19003.97
Cotton,Karnataka,Rabi,732.52,65825.92,58753.19,1716.45,22.58,1212.97,888.52
Sugarcane,Tamil Nadu,Zaid,930.68,52185.78,36121.52,929.04,28.76,61107.85,56871.85
Barley,Rajasthan,Kharif,62.51,33661.79,25306.24,575.27,31.45,2870.48,179.43
Rice,Uttar Pradesh,Rabi,355.05,37038.73,23502.7,1801.57,25.37,3375.07,1198.32
Groundnut,Maharashtra,Rabi,61.92,59754.78,52712.75,1402.9,38.86,1647.81,102.03
Barley,Rajasthan,Rabi,262.84,43889.21,27797.79,1775.89,22.43,3316.01,871.58
Sugarcane,Punjab,Zaid,698.35,26820.41,16429.89,918.2,17.46,59376.63,41465.67
Sunflower,Madhya Pradesh,Zaid,295.82,44148.37,35473.99,1307.71,18.71,1561.14,461.82
Sugarcane,Karnataka,Kharif,523.9,32551.79,24120.05,1154.23,20.02,66600.88,34892.2
Groundnut,Haryana,Rabi,360.11,31883.48,20997.16,1453.43,23.08,2047.95,737.49
Sunflower,Tamil Nadu,Zaid,516.53,46935.49,41339.9,1442.83,27.03,1385.4,715.6
Cotton,Tamil Nadu,Rabi,22.56,69038.67,43207.14,1684.46,22.01,1146.28,25.86
Sugarcane,Andhra Pradesh,Kharif,116.9,21990.29,14442.89,1080.86,33.8,58542.13,6843.57
Jowar,Punjab,Zaid,197.29,39263.28,25906.83,749.6,27.59,1240.85,244.81
Soybean,Gujarat,Kharif,414.43,67687.02,51600.13,1328.65,20.51,1709.65,708.53
Soybean,Punjab,Kharif,21.51,60078.53,50913.92,1639.16,22.08,1816.7,39.08
Jowar,Andhra Pradesh,Kharif,12.83,22862.85,18808.99,715.07,29.95,1378.87,17.69
Groundnut,Uttar Pradesh,Zaid,383.09,61153.06,39357.99,1159.68,16.55,1672.72,640.8
Maize,Gujarat,Rabi,959.81,17678.22,11126.71,374.91,19.63,2005.19,1924.6
Sunflower,Punjab,Kharif,451.47,33171.53,25766.46,1072.27,26.29,1427.86,644.64
Barley,Maharashtra,Kharif,59.58,52989.95,43379.47,379.85,38.2,2662.74,158.65
Wheat,Gujarat,Zaid,331.48,57128.44,41366.91,1410.05,29.49,3854.76,1277.78
Soybean,Karnataka,Kharif,51.45,48964.1,32430.64,1299.08,17.81,1657.88,85.3
Wheat,Gujarat,Zaid,782.53,69588.3,46777.34,1786.32,35.77,3698.43,2894.13
Maize,Andhra Pradesh,Rabi,181.3,58953.69,41282.78,1542.48,25.5,2378.84,431.28
Rice,Uttar Pradesh,Zaid,68.44,24967.41,22150.06,1813.23,31.31,3489.74,238.84
Soybean,Tamil Nadu,Rabi,135.65,52150.08,37485.49,526.12,18.97,1209.04,164.01
Soybean,Tamil Nadu,Kharif,434.34,22016.36,15911.79,902.44,22.57,1608.35,698.57
Wheat,Andhra Pradesh,Zaid,161.88,40945.69,31366.1,1269.49,20.25,3980.79,644.41
Maize,Madhya Pradesh,Zaid,355.15,57911.7,44543.82,743.98,32.37,2531.47,899.05
Jowar,Madhya Pradesh,Kharif,488.43,22325.02,15145.29,1012.47,29.98,1441.33,703.99
Barley,Haryana,Kharif,319.39,37853.27,33023.36,712.38,17.28,2517.56,804.08
Maize,Andhra Pradesh,Kharif,471.91,20028.21,15776.31,1235.9,25.18,2515.62,1187.15
Maize,Punjab,Kharif,23.05,62391.57,48237.11,1814.12,29.92,2722.78,62.76
Groundnut,Uttar Pradesh,Kharif,572.34,24943.18,16977.31,637.7,21.17,1626.4,930.85
Wheat,Gujarat,Kharif,594.25,47430.94,29417.29,1713.62,19.43,4145.9,2463.7
Barley,Maharashtra,Rabi,283.64,37017.21,31226.23,323.57,31.23,2667.6,756.64
Barley,Gujarat,Rabi,932.79,16107.58,10407.67,1806.49,26.46,3727.82,3477.27
Wheat,Maharashtra,Rabi,736.05,26461.98,16932.45,1385.43,22.99,3973.55,2924.73
Barley,Karnataka,Zaid,221.04,22596.89,19382.11,1150.1,31.87,3117.57,689.11
Sugarcane,Andhra Pradesh,Rabi,680.64,66243.39,52074.68,1666.38,17.09,60559.86,41219.46
Jowar,Uttar Pradesh,Kharif,765.98,53041.06,47190.19,969.04,18.27,1441.94,1104.5
Soybean,Rajasthan,Zaid,504.7,32170.44,23427.8,1396.87,33.63,1832.51,924.87
Maize,Tamil Nadu,Zaid,7.31,43787.4,38377.64,1680.53,35.63,2627.09,19.2
Maize,Andhra Pradesh,Rabi,183.22,67596.05,48196.18,876.71,16.56,2513.4,460.51
Groundnut,Madhya Pradesh,Zaid,248.92,32431.84,27328.62,1788.33,22.56,1961.5,488.26
Sunflower,Haryana,Zaid,853.4,33048.8,20362.41,1437.91,20.78,1590.95,1357.72
Maize,Haryana,Zaid,177.54,15282.68,11211.72,443.23,32.07,2112.54,375.06
Groundnut,Andhra Pradesh,Kharif,986.57,47881.2,29906.11,1399.62,30.62,1887.1,1861.76
Maize,Tamil Nadu,Kharif,54.11,54460.57,40444.75,1743.47,24.58,2830.59,153.16
Cotton,Punjab,Rabi,402.09,46780.54,32389.08,1111.24,34.83,897.02,360.68
Maize,Maharashtra,Zaid,105.85,61136.96,48989.28,1484.94,24.07,2692.48,285.0
Soybean,Haryana,Rabi,306.65,32935.93,20462.26,894.65,36.56,1548.36,474.8
Soybean,Madhya Pradesh,Zaid,249.17,66813.2,46066.48,1618.36,24.83,1822.2,454.04
Barley,Haryana,Rabi,440.94,63395.3,47651.47,1163.19,18.46,2864.27,1262.97
Sunflower,Tamil Nadu,Rabi,73.83,51473.04,40077.42,1005.75,25.55,1243.95,91.84
Wheat,Rajasthan,Kharif,137.79,30227.85,18554.43,1882.4,31.52,4161.39,573.4
Groundnut,Punjab,Zaid,845.73,29278.18,17581.35,939.91,29.27,1747.15,1477.62
Wheat,Gujarat,Zaid,915.04,61413.37,50524.02,585.28,18.01,3249.19,2973.14
Rice,Haryana,Zaid,928.84,38679.47,24590.17,1171.07,23.72,3022.52,2807.44
Jowar,Gujarat,Zaid,36.07,69688.17,46678.43,391.51,19.75,866.34,31.25
Sunflower,Punjab,Kharif,81.62,39871.14,32763.21,1467.07,35.38,1581.82,129.11
Groundnut,Uttar Pradesh,Rabi,778.16,40340.35,36171.26,1121.49,39.67,1731.71,1347.55
Sunflower,Tamil Nadu,Rabi,782.61,63757.64,45879.54,1766.97,21.68,1758.47,1376.2
Jowar,Uttar Pradesh,Zaid,18.77,64727.44,40169.5,1986.21,38.78,1824.1,34.24
